,hippieName
PARP8_HUMAN,1
ZN778_HUMAN,1
TMM98_HUMAN,1
NOP16_HUMAN,1
EPHB4_HUMAN,1
NCOAT_HUMAN,1
JOS1_HUMAN,1
TP4A1_HUMAN,1
PLXB3_HUMAN,1
ATPG_HUMAN,1
KLF1_HUMAN,1
CC115_HUMAN,1
NUD13_HUMAN,1
PRDM9_HUMAN,1
SC16B_HUMAN,1
ZFPL1_HUMAN,1
SPB3_HUMAN,1
SGK2_HUMAN,1
PAR6G_HUMAN,1
TF2H5_HUMAN,1
GRIA4_HUMAN,1
GRHL2_HUMAN,1
HXD8_HUMAN,1
ZNF8_HUMAN,1
SCEL_HUMAN,1
CDK13_HUMAN,1
AT5EL_HUMAN,1
MMAC_HUMAN,1
SPNS3_HUMAN,1
CF047_HUMAN,1
ZPI_HUMAN,1
LRN4L_HUMAN,1
HIG1A_HUMAN,1
ACSL5_HUMAN,1
PLXB2_HUMAN,1
CNNM3_HUMAN,1
ACADS_HUMAN,1
SDOS_HUMAN,1
K2013_HUMAN,1
CD5_HUMAN,1
M3K5_HUMAN,1
ARHG4_HUMAN,1
NXT1_HUMAN,1
ZBT16_HUMAN,1
ROCK2_HUMAN,1
DACH2_HUMAN,1
CREB3_HUMAN,1
PELI3_HUMAN,1
TDT_HUMAN,1
OGDHL_HUMAN,1
GBRA6_HUMAN,1
GPR22_HUMAN,1
ASML_HUMAN,1
HXD10_HUMAN,1
ENAM_HUMAN,1
IF4A2_HUMAN,1
KLF2_HUMAN,1
SETB1_HUMAN,1
RBM39_HUMAN,1
TBX6_HUMAN,1
SIA8B_HUMAN,1
IPP2_HUMAN,1
ABC3A_HUMAN,1
LRC61_HUMAN,1
KSYK_HUMAN,1
ZN846_HUMAN,1
EGF_HUMAN,1
TTI1_HUMAN,1
KIF23_HUMAN,1
KAD3_HUMAN,1
O52W1_HUMAN,1
STAB2_HUMAN,1
LCE3C_HUMAN,1
NALP3_HUMAN,1
KR124_HUMAN,1
PALB2_HUMAN,1
UBP37_HUMAN,1
SKP1_HUMAN,1
ESYT3_HUMAN,1
M3K3_HUMAN,1
F161B_HUMAN,1
CADH6_HUMAN,1
B3GL1_HUMAN,1
HEMK1_HUMAN,1
STXB5_HUMAN,1
SRSF6_HUMAN,1
ZN506_HUMAN,1
NR2E1_HUMAN,1
KCNA6_HUMAN,1
FA12_HUMAN,1
AGAP9_HUMAN,1
FA47A_HUMAN,1
KI2S3_HUMAN,1
FAM3C_HUMAN,1
CCD71_HUMAN,1
BAI1_HUMAN,1
S38A6_HUMAN,1
EDEM2_HUMAN,1
VIGLN_HUMAN,1
TEX28_HUMAN,1
TRPM2_HUMAN,1
FACE2_HUMAN,1
5HT1B_HUMAN,1
SETB2_HUMAN,1
CT027_HUMAN,1
TM177_HUMAN,1
VP26B_HUMAN,1
GOR_HUMAN,1
VPS52_HUMAN,1
RAD9A_HUMAN,1
HAUS1_HUMAN,1
KCNT2_HUMAN,1
GON1_HUMAN,1
COPT2_HUMAN,1
MDR3_HUMAN,1
ZN397_HUMAN,1
ABH15_HUMAN,1
CCNA1_HUMAN,1
AN32E_HUMAN,1
NECA1_HUMAN,1
DDX53_HUMAN,1
TRI45_HUMAN,1
HRG1_HUMAN,1
ZP2_HUMAN,1
ADA23_HUMAN,1
ASCL1_HUMAN,1
TEST_HUMAN,1
SOCS3_HUMAN,1
TRXR1_HUMAN,1
LRC28_HUMAN,1
SETD9_HUMAN,1
TREM2_HUMAN,1
CBPE_HUMAN,1
TEX11_HUMAN,1
NFIB_HUMAN,1
ZN430_HUMAN,1
CCL11_HUMAN,1
NUP53_HUMAN,1
CCG3_HUMAN,1
SOS2_HUMAN,1
QKI_HUMAN,1
DPH3_HUMAN,1
GAG2E_HUMAN,1
RXRG_HUMAN,1
DNJA1_HUMAN,1
AMFR1_HUMAN,1
PCDA2_HUMAN,1
PLP2_HUMAN,1
LYRM4_HUMAN,1
IL1A_HUMAN,1
RN138_HUMAN,1
ATS15_HUMAN,1
SRB4D_HUMAN,1
GP119_HUMAN,1
CI009_HUMAN,1
COBL1_HUMAN,1
PCDAB_HUMAN,1
PRI2_HUMAN,1
CTR2_HUMAN,1
DLX2_HUMAN,1
KR111_HUMAN,1
PKP2_HUMAN,1
NIPA1_HUMAN,1
UBFL6_HUMAN,1
RFA3_HUMAN,1
KLH18_HUMAN,1
ZN434_HUMAN,1
HSP74_HUMAN,1
TIM9B_HUMAN,1
IL10_HUMAN,1
